goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
20,1987,0,141,2,85,77,6,50,0,102,0,184,320,38
2,1989,0,55,2,79,39,9,24,0,73,0,188,167,38
5,1986,0,67,1,81,51,4,24,2,76,0,184,194,54
60,1984,1,99,2,74,50,2,26,1,74,1,174,223,39
109,1985,0,197,2,73,86,0,83,1,117,1,173,400,86
0,1985,0,82,3,85,62,5,25,1,90,0,188,234,83
0,1983,0,157,2,89,87,5,20,2,127,0,194,371,86
33,1988,0,65,3,60,52,0,48,1,76,0,161,193,50
38,1982,0,63,3,67,48,8,30,0,89,1,174,200,35
31,1981,0,136,3,83,101,1,76,4,128,6,184,365,26
7,1990,0,79,2,74,23,6,5,0,25,0,177,127,12
93,1988,0,113,3,81,53,2,68,4,66,1,189,232,10
19,1986,0,190,3,75,79,1,76,7,91,1,185,360,10
27,1987,0,30,3,76,21,2,12,0,35,0,174,86,65
0,1981,0,150,3,89,68,5,20,3,82,0,196,300,72
36,1980,0,176,1,88,82,1,107,4,72,1,188,330,57
18,1988,0,78,3,77,40,10,27,0,67,0,179,185,72
0,1988,0,27,3,75,9,6,10,0,22,0,180,58,23
258,1981,0,281,0,79,129,2,40,1,170,0,188,580,34
1,1993,1,31,1,77,7,9,5,0,25,1,183,63,77
55,1987,0,120,1,70,82,10,31,1,109,1,174,311,42
222,1981,1,263,0,78,115,2,47,3,167,0,183,545,58
3,1992,1,42,1,71,21,9,15,0,17,1,182,80,42
53,1985,1,46,2,75,32,2,19,1,45,0,187,123,74
10,1989,0,89,2,83,48,6,46,0,59,3,189,196,15
2,1984,0,81,2,78,58,9,27,0,76,0,188,215,28
0,1979,0,118,0,89,47,5,12,2,53,0,194,218,43
3,1982,0,80,3,69,50,6,19,2,61,0,180,191,62
56,1983,1,74,2,86,58,2,31,2,56,1,188,188,25
22,1980,0,150,2,81,78,9,24,2,140,0,181,368,33
37,1980,0,131,3,71,80,7,77,5,119,3,175,330,50
0,1977,0,135,3,87,101,5,29,3,157,1,188,393,59
